,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
147,P600,cloze_p_smoothed,0.741666157236465,-357.05012081924986,-357.02749751415274,-0.02262330509711319,0.312128439422395,darkgrey
148,P600,cloze_s,0.0115168779515623,-355.7574483960549,-357.02749751415274,1.2700491180978588,0.774006555224748,yellow
149,P600,rating_mean,2.6547611797273144e-06,-353.91656993890217,-357.02749751415274,3.110927575250571,1.0111002299240517,tomato
150,PNP,bigram,0.993341277832427,-369.4679922888961,-368.99367070947574,-0.4743215794203479,0.4024065273158935,darkgrey
151,PNP,trigram,0.999623423391238,-369.2883438643974,-368.99367070947574,-0.2946731549216679,0.13147801372994897,darkgrey
152,PNP,tetragram,0.9999319502846786,-369.40670657047383,-368.99367070947574,-0.4130358609980931,0.18951725182544787,darkgrey
153,PNP,psg,0.9999956533996193,-369.5137695895141,-368.99367070947574,-0.520098880038347,0.33277823672994494,darkgrey
154,PNP,rnn,0.9998393413230605,-369.64281346735106,-368.99367070947574,-0.6491427578753246,0.35871923445430604,darkgrey
155,PNP,s_GPT2,0.9947575067620802,-368.9651568944032,-368.99367070947574,0.028513815072528814,0.027995380254198857,darkgrey
156,PNP,s_GPT2_medium,0.999411802460694,-368.98355917528664,-368.99367070947574,0.010111534189093163,0.01046487902920667,darkgrey
157,PNP,s_GPT2_large,0.9796861206877274,-368.93076772891686,-368.99367070947574,0.06290298055887433,0.016534919180410373,darkgrey
158,PNP,s_GPT2_xl,0.9900095218546632,-368.93796932130033,-368.99367070947574,0.055701388175407374,0.021631639192569954,darkgrey
159,PNP,s_GPTNeo_125M,0.9788916010561446,-368.96795267191453,-368.99367070947574,0.025718037561205165,0.09676066948270769,darkgrey
160,PNP,s_GPTNeo,0.8660939720674866,-368.83049289598637,-368.99367070947574,0.16317781348936933,0.05381503008913559,darkgrey
161,PNP,s_GPTNeo_large,0.8170100618479756,-368.8063060144952,-368.99367070947574,0.18736469498054475,0.03612147500150029,darkgrey
162,PNP,cloze_p_smoothed,0.7647557892495007,-368.79809512183965,-368.99367070947574,0.1955755876360854,0.14818114188728623,darkgrey
163,PNP,cloze_s,0.9999966670231641,-369.1019370591565,-368.99367070947574,-0.10826634968077542,0.05261574693245583,darkgrey
164,PNP,rating_mean,0.8472437624918233,-368.9696557925318,-368.99367070947574,0.024014916943940534,0.2583905018724006,darkgrey
